model,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
allansbasemodel,0.6434624697336562,0.45,0.45872420262664165,0.5379901960784313,0.4766081871345029,0.5028149190710767,0.4696551724137931,0.4625,0.34610215053763443,0.5013793103448276,0.4878665318503539,0.5138888888888888,0.5436507936507937,0.5224358974358975,0.4375,0.453125,0.4775828460038986,0.4625,0.44360902255639095,0.4909420289855072,0.46457326892109496,0.5061179087875417,0.519090909090909,0.5333333333333333,0.5142857142857142,0.5194902548725637,0.546875,0.643719806763285,0.49689440993788814,0.431875,0.6464646464646464,0.5127272727272727,0.5608108108108107,0.42857142857142855,0.51
allansfinetuned,0.8165859564164648,0.7375,0.7556285178236397,0.7867647058823529,0.6286549707602339,0.5615763546798029,0.690344827586207,0.6583333333333333,0.4899193548387097,0.7165517241379311,0.6779575328614762,0.7638888888888888,0.7619047619047619,0.6666666666666667,0.6041666666666667,0.6458333333333333,0.638401559454191,0.6583333333333333,0.6729323308270676,0.6403985507246377,0.6747181964573269,0.6051167964404894,0.6981818181818182,0.5809523809523809,0.5634920634920635,0.6754122938530734,0.6430288461538461,0.7922705314009661,0.6335403726708074,0.5587500000000001,0.6237373737373737,0.6181818181818182,0.6148648648648649,0.6190476190476191,0.62
basemodel,0.8955811138014529,0.625,0.7870544090056286,0.7218137254901962,0.8362573099415205,0.7874736101337086,0.6075862068965517,0.5958333333333333,0.6236559139784946,0.8882758620689655,0.756319514661274,0.7638888888888888,0.6362433862433863,0.8012820512820513,0.7447916666666667,0.6510416666666667,0.8918128654970761,0.5833333333333334,0.7706766917293233,0.7681159420289855,0.8357487922705313,0.7558398220244716,0.7581818181818182,0.8285714285714285,0.6992063492063492,0.8530734632683659,0.8100961538461539,0.8731884057971014,0.8612836438923395,0.7637499999999999,0.898989898989899,0.7836363636363637,0.879222972972973,0.6666666666666666,0.8644444444444443
finetuned,0.9558111380145279,0.9125000000000001,0.9615384615384616,0.8995098039215685,0.9269005847953216,0.8698099929627023,0.8455172413793104,0.8291666666666666,0.7533602150537635,0.9455172413793103,0.9014155712841254,0.9027777777777778,0.8544973544973544,0.842948717948718,0.9114583333333333,0.796875,0.8469785575048733,0.7083333333333334,0.8734335839598997,0.8088768115942029,0.9130434782608696,0.8203559510567298,0.8263636363636364,0.780952380952381,0.873015873015873,0.9265367316341829,0.8485576923076923,0.9722222222222222,0.9109730848861284,0.86625,0.893939393939394,0.9372727272727273,0.90625,0.9047619047619048,0.8777777777777778
