model,PENSVMA,PENSVMB
LLaMA-base,0.6954696628983397,0.6851892551892551
LLaMA-finetuned,0.896755770344081,0.8531013431013431
davinci-base,0.8246551850652578,0.8169963369963369
davinci-finetuned,0.9707308263485113,0.9716666666666667
