chapter,PENSVMA,PENSVMB
1,0.801452784503632,0.5918367346938774
2,0.5142857142857143,0.5642857142857143
3,0.6027874564459931,0.37637362637362637
4,0.5903361344537815,0.5744047619047619
5,0.680451127819549,0.45299145299145305
6,0.5510204081632654,0.5320197044334976
7,0.33714285714285713,0.5467980295566502
8,0.5833333333333333,0.31071428571428567
9,0.39170506912442393,0.3720238095238095
10,0.6057142857142858,0.5570291777188329
11,0.6661129568106313,0.47491638795986624
12,0.6666666666666667,0.5427350427350427
13,0.5510204081632654,0.49572649572649574
14,0.4404761904761905,0.47928994082840237
15,0.5334821428571429,0.4262820512820513
16,0.5833333333333333,0.4567307692307692
17,0.5789473684210525,0.4643874643874643
18,,0.44551282051282054
19,0.5816326530612245,0.40485829959514175
20,0.5031055900621118,0.40705128205128205
21,0.5873015873015872,0.4782608695652174
22,0.6108374384236452,0.42928039702233245
23,0.5914285714285715,0.41958041958041953
24,0.6142857142857142,0.47692307692307695
25,0.5825396825396825,0.41208791208791207
26,0.7453416149068323,0.45888594164456237
27,0.5824175824175823,0.4206730769230769
28,0.6180124223602484,0.4358974358974359
29,0.5403726708074534,0.4432234432234432
30,0.5542857142857143,0.5144230769230769
31,0.7597402597402597,0.5
32,0.5314285714285715,0.5104895104895105
33,0.7181467181467182,0.40865384615384615
34,,0.5311355311355311
35,0.7085714285714285,0.5726495726495726
