model,1,2,3,4,5
13Bjuly2nd1,0.9464285714285714,0.875,0.9563789868667918,0.8088235294117647,0.7880116959064327
hugging,0.8532082324455206,0.5125,0.6857410881801126,0.5122549019607843,0.6169590643274854
hugging13B,0.8438256658595642,0.675,0.7209193245778611,0.5686274509803921,0.6432748538011696
